<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,60,20240226,010000,51699.42,51799.48,51669.48,51727.2,953.2587224907,0
BTC.V,60,20240226,020000,51728.85,51789.77,51621.06,51672.69,1251.2374936698,0
BTC.V,60,20240226,030000,51672.7,51692.11,51465.98,51467,1022.0607665058,0
BTC.V,60,20240226,040000,51470.75,51541.88,51424.62,51428.3,915.3777999486,0
BTC.V,60,20240226,050000,51428.81,51564,51401.48,51555.59,793.67539872787,0
BTC.V,60,20240226,060000,51555.6,51580.57,51478.22,51534.23,835.3509389204,0
BTC.V,60,20240226,070000,51534.23,51599.09,51431.61,51572.6,925.7555494741,0
BTC.V,60,20240226,080000,51572.61,51601.67,51489.02,51524.7,922.1170043962,0
BTC.V,60,20240226,090000,51524.7,51524.7,51293.73,51294.3,1267.0685004532,0
BTC.V,60,20240226,100000,51294.29,51378.77,51253.23,51253.24,1407.2484125592,0
BTC.V,60,20240226,110000,51253.24,51306.8,50907.1,50938.37,1502.301478239,0
BTC.V,60,20240226,120000,50953.57,51241.39,50943.18,51164.44,1564.665645757,0
BTC.V,60,20240226,130000,51164.45,51211.51,51039.5,51080.29,1492.8717154848,0
BTC.V,60,20240226,140000,51080.81,51228.2,50947.83,51228.2,1785.3686040365,0
BTC.V,60,20240226,150000,51231.27,51434.72,51201.39,51237.96,2572.05091496,0
BTC.V,60,20240226,160000,51229.01,51720.15,51208.42,51688.54,3782.4467291321,0
BTC.V,60,20240226,170000,51689.6,52862.72,51647.22,52862.72,8858.8758419994,0
BTC.V,60,20240226,180000,52865.04,53621.81,52779.4,53394.75,8297.6819257685,0
BTC.V,60,20240226,190000,53394.76,53530.06,53222.77,53530.06,6364.3768815035,0
BTC.V,60,20240226,200000,53527.39,53645.57,53326.17,53628.45,4962.1234965446,0
BTC.V,60,20240226,210000,53620.45,54551.98,53462.36,54532.32,13801.77354361,0
BTC.V,60,20240226,220000,54507.2,54951.96,54301.39,54494.48,9324.942096316,0
BTC.V,60,20240226,230000,54489.41,54763.25,54347.14,54664.75,3672.4747542994,0
