<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NZ50,60,20240226,010000,11656.54,11721.39,11656.54,11704.93,0,0
^NZ50,60,20240226,020000,11701.62,11707.94,11686.97,11688.05,0,0
^NZ50,60,20240226,030000,11686.37,11717.03,11685.01,11717.03,0,0
^NZ50,60,20240226,040000,11709.8,11709.8,11686.14,11686.14,0,0
^NZ50,60,20240226,050000,11688.99,11709.89,11680.31,11709.89,0,0
^NZ50,60,20240226,060000,11709.89,11709.89,11709.89,11709.89,0,0
^NZ50,60,20240227,010000,11684.99,11709.89,11646.16,11656.25,0,0
^NZ50,60,20240227,020000,11656.75,11658.34,11628.2,11642.05,0,0
^NZ50,60,20240227,030000,11642,11649.53,11634.12,11638.88,0,0
^NZ50,60,20240227,040000,11644.59,11657.46,11644.53,11656.11,0,0
^NZ50,60,20240227,050000,11655.72,11671.54,11650.67,11650.67,0,0
^NZ50,60,20240227,060000,11694.6,11694.6,11694.6,11694.6,0,0
^NZ50,60,20240228,010000,11705.77,11710.15,11671.42,11672.64,0,0
^NZ50,60,20240228,020000,11670.13,11695.16,11669.55,11684.97,0,0
^NZ50,60,20240228,030000,11687.55,11731.64,11687.55,11725.9,0,0
^NZ50,60,20240228,040000,11726.54,11742.01,11722.12,11742.01,0,0
^NZ50,60,20240228,050000,11746.89,11775.23,11746.02,11758.3,0,0
^NZ50,60,20240228,060000,11763.32,11763.32,11763.32,11763.32,0,0
^NZ50,60,20240229,010000,11704.57,11714.44,11685.55,11693.82,0,0
^NZ50,60,20240229,020000,11695.82,11712.23,11685.74,11705.15,0,0
^NZ50,60,20240229,030000,11706.4,11708.66,11675.49,11696.44,0,0
^NZ50,60,20240229,040000,11694.8,11721.91,11675.56,11718.36,0,0
^NZ50,60,20240229,050000,11713.42,11716.44,11689.97,11692.63,0,0
^NZ50,60,20240229,060000,11741.47,11741.47,11741.47,11741.47,0,0
^NZ50,60,20240301,010000,11703.51,11719.43,11703.51,11708.09,0,0
^NZ50,60,20240301,020000,11707.79,11717.07,11701.13,11709.72,0,0
^NZ50,60,20240301,030000,11703.53,11712.19,11695.16,11695.16,0,0
^NZ50,60,20240301,040000,11695.42,11711.22,11693.97,11707.49,0,0
^NZ50,60,20240301,050000,11705.56,11744.11,11704.29,11744.11,0,0
^NZ50,60,20240301,060000,11744.39,11744.39,11744.39,11744.39,0,0
^NZ50,60,20240304,010000,11720.89,11730.72,11696.13,11699.44,0,0
^NZ50,60,20240304,020000,11701.67,11740.35,11701.34,11726.81,0,0
^NZ50,60,20240304,030000,11727.85,11735.34,11712.52,11726.49,0,0
^NZ50,60,20240304,040000,11726.13,11736.97,11720.34,11721.93,0,0
^NZ50,60,20240304,050000,11722.25,11732.27,11707.46,11732.07,0,0
^NZ50,60,20240304,060000,11724.21,11724.21,11724.21,11724.21,0,0
^NZ50,60,20240305,010000,11703.41,11715.98,11665.95,11665.95,0,0
^NZ50,60,20240305,020000,11661.16,11678.05,11658.78,11670.86,0,0
^NZ50,60,20240305,030000,11668.21,11699.18,11667.82,11699.18,0,0
^NZ50,60,20240305,040000,11695.37,11726.04,11687.24,11720.89,0,0
^NZ50,60,20240305,050000,11719.97,11746.31,11716.91,11726.42,0,0
^NZ50,60,20240305,060000,11753.02,11753.02,11753.02,11753.02,0,0
^NZ50,60,20240306,010000,11692.88,11719.28,11689.1,11708.98,0,0
^NZ50,60,20240306,020000,11704.39,11709.28,11691.93,11698.25,0,0
^NZ50,60,20240306,030000,11691.38,11725.02,11691.38,11710.28,0,0
^NZ50,60,20240306,040000,11710.38,11725.08,11707.63,11722.53,0,0
^NZ50,60,20240306,050000,11722.76,11743.45,11717.63,11738.7,0,0
^NZ50,60,20240306,060000,11795.9,11795.9,11795.9,11795.9,0,0
^NZ50,60,20240307,010000,11827.11,11847.68,11818.69,11838.09,0,0
^NZ50,60,20240307,020000,11840.73,11842.56,11817.25,11825.13,0,0
^NZ50,60,20240307,030000,11829.28,11829.28,11790.7,11790.7,0,0
^NZ50,60,20240307,040000,11791.9,11805.88,11786.42,11803.3,0,0
^NZ50,60,20240307,050000,11814.54,11820.96,11805.24,11820.49,0,0
^NZ50,60,20240307,060000,11803.93,11803.93,11803.93,11803.93,0,0
^NZ50,60,20240308,010000,11825.01,11847.97,11825.01,11845.85,0,0
^NZ50,60,20240308,020000,11843.29,11844.8,11820.41,11833.56,0,0
^NZ50,60,20240308,030000,11833.95,11860.11,11833.95,11855.05,0,0
^NZ50,60,20240308,040000,11854.72,11861.71,11842.11,11855.46,0,0
^NZ50,60,20240308,050000,11853.8,11869.92,11849.99,11869.75,0,0
^NZ50,60,20240308,060000,11923.72,11923.72,11923.72,11923.72,0,0
^NZ50,60,20240311,010000,11860.52,11860.52,11834.64,11853.26,0,0
^NZ50,60,20240311,020000,11847.46,11850.28,11822.37,11835.44,0,0
^NZ50,60,20240311,030000,11835.3,11843.8,11828.15,11836.54,0,0
^NZ50,60,20240311,040000,11833.08,11855.02,11830.22,11839.74,0,0
^NZ50,60,20240311,050000,11841.67,11853.56,11839.26,11853.56,0,0
^NZ50,60,20240311,060000,11873.67,11873.67,11873.67,11873.67,0,0
^NZ50,60,20240312,010000,11827.19,11834.09,11809.79,11818.05,0,0
^NZ50,60,20240312,020000,11817.64,11825.19,11799.2,11809.63,0,0
^NZ50,60,20240312,030000,11811.98,11820.95,11801.13,11817.45,0,0
^NZ50,60,20240312,040000,11815.31,11829,11812.8,11820.79,0,0
^NZ50,60,20240312,050000,11817.04,11822.13,11800.53,11807.57,0,0
^NZ50,60,20240312,060000,11829.18,11829.18,11829.18,11829.18,0,0
^NZ50,60,20240313,010000,11815.19,11815.55,11783.01,11801.3,0,0
^NZ50,60,20240313,020000,11807.26,11807.26,11789.97,11789.97,0,0
^NZ50,60,20240313,030000,11789.38,11805.37,11789.38,11805.37,0,0
^NZ50,60,20240313,040000,11806.2,11816.12,11796.49,11805.68,0,0
^NZ50,60,20240313,050000,11802.96,11812.01,11798.82,11801.38,0,0
^NZ50,60,20240313,060000,11801.38,11809.02,11801.38,11809.02,0,0
^NZ50,60,20240314,010000,11791.73,11798.05,11772.62,11786.18,0,0
^NZ50,60,20240314,020000,11786.44,11797.7,11771.96,11789.15,0,0
^NZ50,60,20240314,030000,11785.99,11801.05,11772.98,11789.13,0,0
^NZ50,60,20240314,040000,11793.87,11797.73,11782.2,11786.25,0,0
^NZ50,60,20240314,050000,11788.19,11805.14,11788.19,11800.52,0,0
^NZ50,60,20240314,060000,11808.33,11808.33,11808.33,11808.33,0,0
^NZ50,60,20240315,010000,11766.91,11768.45,11747.18,11755.13,0,0
^NZ50,60,20240315,020000,11755.92,11756.54,11734.01,11745.48,0,0
^NZ50,60,20240315,030000,11746.4,11750.5,11707.92,11718.56,0,0
^NZ50,60,20240315,040000,11714.45,11740.42,11713.5,11735.01,0,0
^NZ50,60,20240315,050000,11734.84,11741.53,11723.5,11733.3,0,0
^NZ50,60,20240315,060000,11744.3,11766.98,11744.3,11766.98,0,0
^NZ50,60,20240315,070000,11766.98,11766.98,11766.98,11766.98,0,0
^NZ50,60,20240318,010000,11708.85,11733.47,11708.85,11724.82,0,0
^NZ50,60,20240318,020000,11725.69,11729,11713.63,11713.63,0,0
^NZ50,60,20240318,030000,11711.44,11734.17,11703.87,11718.56,0,0
^NZ50,60,20240318,040000,11717.11,11724.36,11704.89,11724.36,0,0
^NZ50,60,20240318,050000,11725.24,11750.77,11721.77,11742,0,0
^NZ50,60,20240318,060000,11728.01,11728.01,11728.01,11728.01,0,0
^NZ50,60,20240319,010000,11738.09,11754.81,11736.35,11747.75,0,0
^NZ50,60,20240319,020000,11746.66,11751.43,11737.81,11751.37,0,0
^NZ50,60,20240319,030000,11752.91,11771.94,11749.1,11771.94,0,0
^NZ50,60,20240319,040000,11768.73,11790.77,11761.92,11790.77,0,0
^NZ50,60,20240319,050000,11789.21,11809.79,11783.58,11806.5,0,0
^NZ50,60,20240319,060000,11817.91,11817.91,11817.91,11817.91,0,0
^NZ50,60,20240320,010000,11778.09,11815.35,11773.21,11800.65,0,0
^NZ50,60,20240320,020000,11800.79,11800.92,11776.35,11790.67,0,0
^NZ50,60,20240320,030000,11792.28,11805.64,11788.17,11799.05,0,0
^NZ50,60,20240320,040000,11801,11812.42,11797.34,11808.41,0,0
^NZ50,60,20240320,050000,11805.79,11830.3,11801.55,11830.3,0,0
^NZ50,60,20240320,060000,11832.71,11832.71,11832.71,11832.71,0,0
^NZ50,60,20240321,010000,11804.25,11848.56,11804.25,11846.38,0,0
^NZ50,60,20240321,020000,11846.22,11856.26,11841.13,11855.94,0,0
^NZ50,60,20240321,030000,11850.68,11870.67,11848.28,11867.89,0,0
^NZ50,60,20240321,040000,11866.21,11893.23,11863.03,11892.61,0,0
^NZ50,60,20240321,050000,11889.67,11899.38,11881.8,11889.46,0,0
^NZ50,60,20240321,060000,11910.68,11915.71,11910.68,11915.71,0,0
^NZ50,60,20240322,010000,11976.82,12001.37,11967.25,11979.78,0,0
^NZ50,60,20240322,020000,11979.29,11991.51,11964.47,11974.59,0,0
^NZ50,60,20240322,030000,11972.49,11985.12,11972.49,11977.9,0,0
^NZ50,60,20240322,040000,11974.81,11981.56,11962.96,11965.03,0,0
^NZ50,60,20240322,050000,11967.83,11978.77,11961.02,11976.06,0,0
^NZ50,60,20240322,060000,11978.62,11978.62,11978.62,11978.62,0,0
^NZ50,60,20240325,010000,11962.1,12046.06,11962.1,12044.17,0,0
^NZ50,60,20240325,020000,12042.39,12067.9,12042.39,12059.05,0,0
^NZ50,60,20240325,030000,12068.43,12068.43,12048.08,12061.12,0,0
^NZ50,60,20240325,040000,12068.27,12089.96,12062.12,12088.54,0,0
^NZ50,60,20240325,050000,12084.99,12093.7,12083.13,12086.54,0,0
^NZ50,60,20240325,060000,12067.03,12067.03,12067.03,12067.03,0,0
^NZ50,60,20240326,010000,11996.61,12057.6,11996.61,12027.69,0,0
^NZ50,60,20240326,020000,12028.35,12038.03,12016.61,12025.74,0,0
^NZ50,60,20240326,030000,12021.43,12045.47,12018.32,12037.72,0,0
^NZ50,60,20240326,040000,12038.35,12068.9,12038.35,12066.06,0,0
^NZ50,60,20240326,050000,12066.51,12077.18,12039.34,12047.53,0,0
^NZ50,60,20240326,060000,12031.81,12031.81,12031.81,12031.81,0,0
^NZ50,60,20240327,010000,11996.89,12023.21,11989.22,12021.73,0,0
^NZ50,60,20240327,020000,12021.73,12029.6,12003.65,12004.98,0,0
^NZ50,60,20240327,030000,12006.77,12012.61,11988.06,12010.2,0,0
^NZ50,60,20240327,040000,12009.29,12027.76,12006.67,12019.61,0,0
^NZ50,60,20240327,050000,12012.13,12031.24,12009.38,12029.28,0,0
^NZ50,60,20240327,060000,12010.66,12010.66,12010.66,12010.66,0,0
^NZ50,60,20240328,010000,12002.18,12023.42,11992.09,12022.02,0,0
^NZ50,60,20240328,020000,12025.45,12070.4,12023.86,12069.78,0,0
^NZ50,60,20240328,030000,12071.38,12098.38,12067.4,12098,0,0
^NZ50,60,20240328,040000,12096.2,12116.78,12093.14,12106.39,0,0
^NZ50,60,20240328,050000,12106.58,12108.29,12062.34,12072.93,0,0
^NZ50,60,20240328,060000,12105.29,12105.29,12105.29,12105.29,0,0
^NZ50,60,20240402,010000,12056.82,12062.39,12032.37,12055.02,0,0
^NZ50,60,20240402,020000,12052.56,12055.69,12033.22,12048.53,0,0
^NZ50,60,20240402,030000,12062.82,12071.14,12059.48,12071.14,0,0
^NZ50,60,20240402,040000,12073.81,12084.51,12069.19,12070.81,0,0
^NZ50,60,20240402,050000,12072.01,12082.22,12063.69,12075.92,0,0
^NZ50,60,20240402,060000,12073.79,12086.52,12065.54,12068.67,0,0
^NZ50,60,20240402,070000,12095.85,12095.85,12095.85,12095.85,0,0
^NZ50,60,20240403,010000,12027.22,12032.98,11998.03,12013.23,0,0
^NZ50,60,20240403,020000,12012.11,12015.69,11972.21,11993.93,0,0
^NZ50,60,20240403,030000,11994.41,11994.41,11972.18,11976.95,0,0
^NZ50,60,20240403,040000,11976.8,11988.21,11957.82,11983.6,0,0
^NZ50,60,20240403,050000,11980.39,11990.73,11974.68,11983.41,0,0
^NZ50,60,20240403,060000,11985.59,12040.49,11982.68,12040.49,0,0
^NZ50,60,20240403,070000,12040.49,12040.49,12040.49,12040.49,0,0
^NZ50,60,20240404,010000,12014.68,12022.92,11999.72,11999.72,0,0
^NZ50,60,20240404,020000,12004.12,12025.47,12000.29,12019.97,0,0
^NZ50,60,20240404,030000,12018.39,12024.79,11996.29,12000.93,0,0
^NZ50,60,20240404,040000,12001.68,12024.74,12001.68,12015.38,0,0
^NZ50,60,20240404,050000,12017.47,12038.91,12013.99,12016.32,0,0
^NZ50,60,20240404,060000,12018.05,12032.34,12015.25,12025.16,0,0
^NZ50,60,20240404,070000,12035.26,12035.26,12035.26,12035.26,0,0
^NZ50,60,20240405,010000,11938.5,11962.74,11936.91,11961.77,0,0
^NZ50,60,20240405,020000,11963.24,12000.74,11963.24,12000.73,0,0
^NZ50,60,20240405,030000,12001.91,12010.38,11989.4,11996.1,0,0
^NZ50,60,20240405,040000,11995.29,11997.1,11976.07,11976.07,0,0
^NZ50,60,20240405,050000,11972.44,11973.89,11929.76,11939.94,0,0
^NZ50,60,20240405,060000,11944.52,12012.24,11944.41,12012.24,0,0
^NZ50,60,20240405,070000,12012.24,12012.24,12012.24,12012.24,0,0
^NZ50,60,20240408,010000,11960.62,11965.85,11925.4,11944.45,0,0
^NZ50,60,20240408,020000,11943.71,11965.31,11943.71,11960.96,0,0
^NZ50,60,20240408,030000,11957.87,12008.28,11957.87,11977.38,0,0
^NZ50,60,20240408,040000,11976.55,11981.89,11954.42,11958.29,0,0
^NZ50,60,20240408,050000,11957.11,11966.18,11951.25,11957.85,0,0
^NZ50,60,20240408,060000,11955.22,11959.09,11943.8,11943.8,0,0
^NZ50,60,20240408,070000,11941.79,11973.59,11937.65,11973.59,0,0
^NZ50,60,20240409,010000,11924.09,11926.98,11900.31,11900.31,0,0
^NZ50,60,20240409,020000,11901.04,11916.78,11893.39,11910.49,0,0
^NZ50,60,20240409,030000,11912.79,11933.54,11900.49,11906.75,0,0
^NZ50,60,20240409,040000,11906.09,11917.83,11893.08,11916.9,0,0
^NZ50,60,20240409,050000,11916.56,11917.33,11894.5,11896.69,0,0
^NZ50,60,20240409,060000,11895.77,11916.19,11895.77,11903.92,0,0
^NZ50,60,20240409,070000,11906.81,11916.78,11899.13,11916.78,0,0
^NZ50,60,20240410,010000,11870.56,11888.79,11868.47,11875.65,0,0
^NZ50,60,20240410,020000,11875.03,11921.15,11875.03,11921.15,0,0
^NZ50,60,20240410,030000,11922.07,11953.53,11914.49,11953.35,0,0
^NZ50,60,20240410,040000,11953.35,11964.93,11949.93,11962.94,0,0
^NZ50,60,20240410,050000,11961.63,11962.34,11947.13,11952.02,0,0
^NZ50,60,20240410,060000,11951.99,11959.31,11940.24,11942.1,0,0
^NZ50,60,20240410,070000,11943.92,11971.92,11929.94,11971.92,0,0
^NZ50,60,20240411,010000,11955.33,11955.33,11911.22,11911.22,0,0
^NZ50,60,20240411,020000,11910.62,11910.62,11870.36,11870.36,0,0
^NZ50,60,20240411,030000,11857.45,11877.68,11854.19,11865.62,0,0
^NZ50,60,20240411,040000,11859.9,11868.63,11848.66,11854.52,0,0
^NZ50,60,20240411,050000,11850.64,11867.89,11845.04,11863.62,0,0
^NZ50,60,20240411,060000,11861.64,11882.9,11861.64,11874.93,0,0
^NZ50,60,20240411,070000,11873.25,11934.31,11873.25,11934.31,0,0
^NZ50,60,20240412,010000,11904.23,11914.84,11899.14,11902.97,0,0
^NZ50,60,20240412,020000,11901.33,11901.33,11870.59,11875.57,0,0
^NZ50,60,20240412,030000,11877.99,11877.99,11841.81,11851.81,0,0
^NZ50,60,20240412,040000,11852.89,11864.71,11841.79,11857.09,0,0
^NZ50,60,20240412,050000,11855.25,11870.86,11851.84,11869.13,0,0
^NZ50,60,20240412,060000,11868.06,11897.3,11868.06,11890.64,0,0
^NZ50,60,20240412,070000,11891.27,11931.32,11887.95,11931.32,0,0
^NZ50,60,20240415,010000,11854.22,11854.22,11804.9,11807.77,0,0
^NZ50,60,20240415,020000,11802.55,11818.96,11792.45,11818.96,0,0
^NZ50,60,20240415,030000,11822.72,11833.07,11807.12,11814.03,0,0
^NZ50,60,20240415,040000,11816.24,11839.02,11809,11838.84,0,0
^NZ50,60,20240415,050000,11841.52,11858.86,11829.23,11857.92,0,0
^NZ50,60,20240415,060000,11855.77,11885.08,11855.67,11875.37,0,0
^NZ50,60,20240415,070000,11875.63,11916.78,11858.34,11916.78,0,0
^NZ50,60,20240416,010000,11862.39,11866.17,11829.48,11839.33,0,0
^NZ50,60,20240416,020000,11839.33,11853,11833.9,11840.23,0,0
^NZ50,60,20240416,030000,11841.27,11842.54,11814.02,11816.87,0,0
^NZ50,60,20240416,040000,11815.37,11815.37,11794.27,11797.88,0,0
^NZ50,60,20240416,050000,11793.42,11809.39,11793.42,11809.39,0,0
^NZ50,60,20240416,060000,11810.31,11822.64,11800.38,11801.79,0,0
^NZ50,60,20240416,070000,11802.97,11808.26,11792.18,11804.84,0,0
