<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^SPX,60,20240226,160000,5092.52,5097.56,5087.55,5092.54,184729371,0
^SPX,60,20240226,170000,5093.22,5094.21,5084.6,5084.94,239242598,0
^SPX,60,20240226,180000,5084.93,5088.46,5080.35,5087.05,186791288,0
^SPX,60,20240226,190000,5087.16,5088.66,5081.23,5082.57,151523375,0
^SPX,60,20240226,200000,5082.52,5085.82,5070.29,5078.43,155937378,0
^SPX,60,20240226,210000,5078.64,5083.28,5075.36,5077.31,155065174,0
^SPX,60,20240226,220000,5077.54,5082.37,5069.29,5069.53,632792927,0
^SPX,60,20240227,160000,5076.59,5076.59,5065.48,5069.33,203616056,0
^SPX,60,20240227,170000,5072.32,5073.19,5065.66,5070.99,235209741,0
^SPX,60,20240227,180000,5071.21,5071.21,5064.4,5068.47,182800668,0
^SPX,60,20240227,190000,5068.38,5069.52,5059.46,5059.6,149821393,0
^SPX,60,20240227,200000,5059.34,5067.91,5057.36,5066.8,146225587,0
^SPX,60,20240227,210000,5067.56,5076.27,5067.01,5075.97,172062572,0
^SPX,60,20240227,220000,5076.29,5080.4,5071.99,5078.18,529617623,0
^SPX,60,20240228,160000,5062.35,5066.5,5058.78,5061.78,186511799,0
^SPX,60,20240228,170000,5062.14,5073.16,5062.1,5073.1,229724591,0
^SPX,60,20240228,180000,5075.88,5077.31,5071.28,5074.6,176818082,0
^SPX,60,20240228,190000,5074.67,5075.47,5063.67,5067.69,152054871,0
^SPX,60,20240228,200000,5067.09,5076.6,5064.46,5074.83,128447596,0
^SPX,60,20240228,210000,5075.63,5075.83,5061.28,5067.31,163099599,0
^SPX,60,20240228,220000,5067.95,5071.33,5062.61,5069.76,557366506,0
^SPX,60,20240229,160000,5090.96,5096.15,5089.88,5092.39,211529484,0
^SPX,60,20240229,170000,5094.27,5095.29,5077.32,5081.98,260938082,0
^SPX,60,20240229,180000,5082.68,5085.18,5061.9,5074.59,187525238,0
^SPX,60,20240229,190000,5074.37,5082.42,5073.48,5081.87,156923737,0
^SPX,60,20240229,200000,5081.95,5087.08,5081.82,5086.5,149871598,0
^SPX,60,20240229,210000,5086.67,5090.92,5080.39,5084.86,166109876,0
^SPX,60,20240229,220000,5085.6,5104.99,5084.9,5096.27,1107359938,0
^SPX,60,20240301,160000,5097.92,5103.62,5094.16,5098.36,227507538,0
^SPX,60,20240301,170000,5105.34,5116.37,5095.82,5114.55,287705773,0
^SPX,60,20240301,180000,5115.02,5121.68,5111.17,5119.72,218613167,0
^SPX,60,20240301,190000,5117.53,5128.34,5116.16,5126.78,160464308,0
^SPX,60,20240301,200000,5126.9,5134.83,5125.85,5134.62,164464040,0
^SPX,60,20240301,210000,5137.02,5139.89,5134.36,5139.21,167558128,0
^SPX,60,20240301,220000,5139.26,5139.26,5131.75,5137.08,605248543,0
^SPX,60,20240304,160000,5130.99,5133.95,5127.25,5133.4,277415328,0
^SPX,60,20240304,170000,5132.32,5136.83,5128.62,5134.57,320834004,0
^SPX,60,20240304,180000,5134.54,5135.87,5129.54,5134.97,261022157,0
^SPX,60,20240304,190000,5135,5139.64,5133.22,5137.57,206082701,0
^SPX,60,20240304,200000,5137.51,5138.4,5131.59,5135.68,178737790,0
^SPX,60,20240304,210000,5135.48,5148.58,5133.99,5146.49,213697708,0
^SPX,60,20240304,220000,5146.57,5149.58,5129.97,5130.95,651061507,0
^SPX,60,20240305,160000,5108.99,5110.45,5102.05,5103.73,219475057,0
^SPX,60,20240305,170000,5106.82,5114.17,5082.61,5088.04,327400458,0
^SPX,60,20240305,180000,5087.79,5091.21,5078.11,5080.2,211139241,0
^SPX,60,20240305,190000,5084.65,5092.57,5083.62,5087.68,177944387,0
^SPX,60,20240305,200000,5087.8,5088.98,5075.05,5075.05,174731312,0
^SPX,60,20240305,210000,5075.01,5080.91,5063.56,5064.44,183125931,0
^SPX,60,20240305,220000,5064.66,5080.84,5057,5078.65,637312312,0
^SPX,60,20240306,160000,5108.03,5116.05,5104.47,5105.23,222112109,0
^SPX,60,20240306,170000,5104.28,5112.67,5092.34,5111.72,278598379,0
^SPX,60,20240306,180000,5112.24,5123.29,5112.24,5120.48,218004388,0
^SPX,60,20240306,190000,5120.27,5127.85,5118.16,5119.74,188252051,0
^SPX,60,20240306,200000,5120.46,5126.5,5100.85,5109.6,193234324,0
^SPX,60,20240306,210000,5106.59,5110.53,5094.06,5099.19,203805418,0
^SPX,60,20240306,220000,5098.5,5109.29,5093.17,5104.76,563791590,0
^SPX,60,20240307,160000,5137.26,5142.99,5128.21,5133.98,187954310,0
^SPX,60,20240307,170000,5140.69,5155.15,5137.32,5150.63,248560261,0
^SPX,60,20240307,180000,5150.45,5154.31,5146.41,5153.15,209026818,0
^SPX,60,20240307,190000,5153.39,5156.15,5147.39,5152.11,165777996,0
^SPX,60,20240307,200000,5152.69,5165.46,5150.09,5164.02,152713559,0
^SPX,60,20240307,210000,5164.34,5165.57,5154.95,5155.96,174537410,0
^SPX,60,20240307,220000,5150.24,5162.87,5149.63,5157.36,628510708,0
^SPX,60,20240308,160000,5166.01,5184.02,5164.16,5183.07,135064129,0
^SPX,60,20240308,170000,5185.16,5189.19,5176.85,5181.66,272547595,0
^SPX,60,20240308,180000,5180.24,5180.24,5146.72,5147,250831711,0
^SPX,60,20240308,190000,5147.87,5154.99,5129.73,5132.26,167020089,0
^SPX,60,20240308,200000,5130.8,5138.4,5117.61,5123.49,162448491,0
^SPX,60,20240308,210000,5125.28,5149.95,5125.28,5145.51,164668411,0
^SPX,60,20240308,220000,5144.8,5149.93,5123.69,5123.69,546077589,0
^SPX,60,20240311,150000,5108.66,5115.28,5099.95,5099.95,179371447,0
^SPX,60,20240311,160000,5100.77,5112.98,5091.18,5111.59,241549598,0
^SPX,60,20240311,170000,5112.85,5114.87,5098.52,5111.27,175075212,0
^SPX,60,20240311,180000,5114.59,5118.04,5106.66,5116.4,144889594,0
^SPX,60,20240311,190000,5116.49,5120.45,5109.05,5116.73,142416575,0
^SPX,60,20240311,200000,5116.76,5124.45,5113.79,5121.09,152431915,0
^SPX,60,20240311,210000,5121.49,5121.57,5112.75,5117.94,542244278,0
^SPX,60,20240312,150000,5134.3,5143.29,5114.53,5140.28,180515903,0
^SPX,60,20240312,160000,5141,5170.95,5136.9,5164.96,246714755,0
^SPX,60,20240312,170000,5166.98,5171.52,5159.27,5164.88,192421457,0
^SPX,60,20240312,180000,5165.64,5165.98,5143.61,5150.32,174906731,0
^SPX,60,20240312,190000,5150.19,5163.91,5143.18,5162.52,145078892,0
^SPX,60,20240312,200000,5162.81,5175.16,5161.79,5175.16,150354773,0
^SPX,60,20240312,210000,5174.82,5179.83,5171.21,5175.27,568207854,0
^SPX,60,20240313,150000,5174.9,5176.55,5165.28,5166.66,182312197,0
^SPX,60,20240313,160000,5165.56,5173.55,5162.95,5166.85,249492954,0
^SPX,60,20240313,170000,5167.97,5173.12,5164.53,5170.68,177939530,0
^SPX,60,20240313,180000,5170.55,5172.54,5166.67,5170.62,155949585,0
^SPX,60,20240313,190000,5170.54,5178.97,5170.54,5177.15,144999092,0
^SPX,60,20240313,200000,5176.65,5177.81,5170.44,5170.61,155594967,0
^SPX,60,20240313,210000,5170.65,5172.63,5152.07,5165.31,666752234,0
^SPX,60,20240314,150000,5174.24,5176.85,5144.59,5144.59,167480760,0
^SPX,60,20240314,160000,5142.38,5160.64,5138.53,5150.85,242563609,0
^SPX,60,20240314,170000,5151.6,5159.05,5145.7,5153.92,186983025,0
^SPX,60,20240314,180000,5154.53,5155.97,5143.54,5143.74,168208810,0
^SPX,60,20240314,190000,5143.44,5150.26,5132.87,5149.6,174885778,0
^SPX,60,20240314,200000,5151.57,5156.45,5143.71,5143.8,172801221,0
^SPX,60,20240314,210000,5142.64,5151.52,5123.47,5150.48,747473499,0
^SPX,60,20240315,150000,5123.31,5130.52,5114.37,5118.71,431774237,0
^SPX,60,20240315,160000,5120.92,5136.72,5109.15,5131.62,219876005,0
^SPX,60,20240315,170000,5132.34,5132.34,5116.02,5116.34,162380790,0
^SPX,60,20240315,180000,5116.93,5118.91,5104.36,5105.08,161424919,0
^SPX,60,20240315,190000,5105.42,5119.54,5104.89,5119.32,144582808,0
^SPX,60,20240315,200000,5119.26,5125.41,5112.73,5122.13,168922484,0
^SPX,60,20240315,210000,5122.34,5124.68,5113.35,5117.09,2108716373,0
^SPX,60,20240318,150000,5154.77,5169.47,5154.77,5159.39,198261049,0
^SPX,60,20240318,160000,5159.66,5175.53,5159.66,5172.26,227909246,0
^SPX,60,20240318,170000,5173.06,5173.07,5159.89,5162.65,171053066,0
^SPX,60,20240318,180000,5162.57,5165.47,5155.68,5156.09,144185137,0
^SPX,60,20240318,190000,5155.98,5162.85,5153.99,5158.57,129860763,0
^SPX,60,20240318,200000,5158.45,5164.43,5154.37,5158.87,139236256,0
^SPX,60,20240318,210000,5157.98,5161.86,5145.58,5149.42,674193504,0
^SPX,60,20240319,150000,5139.09,5141.75,5131.59,5137.52,158774225,0
^SPX,60,20240319,160000,5137.1,5146.55,5132.81,5143.54,209952745,0
^SPX,60,20240319,170000,5143.12,5154.68,5142.47,5152.43,144545103,0
^SPX,60,20240319,180000,5152.62,5171.96,5151.07,5167.69,141620501,0
^SPX,60,20240319,190000,5167.8,5174.76,5164.87,5170.79,134516457,0
^SPX,60,20240319,200000,5168.17,5174.28,5166.52,5169.62,129181121,0
^SPX,60,20240319,210000,5169.73,5180.04,5163.23,5178.51,744285560,0
^SPX,60,20240320,150000,5177.29,5178.57,5172.64,5176.47,110227347,0
^SPX,60,20240320,160000,5174.41,5184.8,5174.41,5178.96,190488026,0
^SPX,60,20240320,170000,5179.59,5183.62,5176.02,5179.57,154990591,0
^SPX,60,20240320,180000,5179.03,5182,5174.57,5181.87,138132782,0
^SPX,60,20240320,190000,5181.69,5181.69,5171.6,5174.47,118544184,0
^SPX,60,20240320,200000,5176.89,5214.98,5176.89,5209.58,277612063,0
^SPX,60,20240320,210000,5210.38,5226.08,5209.86,5224.62,657296675,0
^SPX,60,20240321,150000,5255.63,5260.3,5247.83,5254.49,221541164,0
^SPX,60,20240321,160000,5254.03,5259.55,5251.97,5257.64,288727739,0
^SPX,60,20240321,170000,5254.98,5259.44,5250.69,5258.11,196250133,0
^SPX,60,20240321,180000,5258.05,5260.98,5254.91,5257.84,160642314,0
^SPX,60,20240321,190000,5257.99,5258.06,5247.54,5247.76,161215949,0
^SPX,60,20240321,200000,5247.93,5251.11,5240.74,5242.88,179160420,0
^SPX,60,20240321,210000,5242.65,5250.22,5240.99,5241.53,608534362,0
^SPX,60,20240322,150000,5242.22,5244.54,5235.31,5237.94,159839437,0
^SPX,60,20240322,160000,5238.34,5243.25,5229.96,5230.45,200170320,0
^SPX,60,20240322,170000,5230.29,5238.53,5230.29,5237.13,163391970,0
^SPX,60,20240322,180000,5236.93,5238.39,5230.75,5237.69,136882626,0
^SPX,60,20240322,190000,5237.9,5246.01,5237.87,5245.49,116931421,0
^SPX,60,20240322,200000,5244.38,5246.06,5239.43,5241.88,123258912,0
^SPX,60,20240322,210000,5241.77,5243.12,5231.76,5234.18,523715180,0
^SPX,60,20240325,150000,5219.03,5223.86,5216.31,5221.69,162827877,0
^SPX,60,20240325,160000,5222.36,5228.86,5220.87,5226.29,221354707,0
^SPX,60,20240325,170000,5227.19,5228.47,5223.94,5226.01,164756547,0
^SPX,60,20240325,180000,5225.88,5227.03,5222.39,5224.02,140013635,0
^SPX,60,20240325,190000,5224.13,5226.69,5221.43,5225.78,117599333,0
^SPX,60,20240325,200000,5226.46,5228.97,5225.41,5228.16,128714970,0
^SPX,60,20240325,210000,5228,5228,5216.42,5218.19,604979008,0
^SPX,60,20240326,150000,5231,5234.81,5228.63,5232.54,172040894,0
^SPX,60,20240326,160000,5232.61,5235,5226.92,5232.7,226122194,0
^SPX,60,20240326,170000,5233.58,5234.29,5230.59,5234.05,166347647,0
^SPX,60,20240326,180000,5234.03,5234.59,5227.79,5228,157092156,0
^SPX,60,20240326,190000,5228.33,5229.97,5225.34,5226.26,152734736,0
^SPX,60,20240326,200000,5227.13,5230.09,5226.51,5228.75,153968389,0
^SPX,60,20240326,210000,5227.57,5228.74,5203.58,5203.58,623420643,0
^SPX,60,20240327,150000,5234.16,5235.63,5225.83,5227.59,178092772,0
^SPX,60,20240327,160000,5227.31,5228.05,5215.52,5216.71,255265258,0
^SPX,60,20240327,170000,5216.97,5220.24,5214.29,5214.46,176477598,0
^SPX,60,20240327,180000,5214.56,5223.6,5213.98,5222.02,159869750,0
^SPX,60,20240327,190000,5222.07,5223.49,5216.82,5220.92,137353958,0
^SPX,60,20240327,200000,5220.93,5228.68,5219.38,5221.25,149333202,0
^SPX,60,20240327,210000,5221.79,5249.26,5217.91,5248.49,608186835,0
^SPX,60,20240328,150000,5250.3,5255.06,5246.02,5250.85,174505776,0
^SPX,60,20240328,160000,5251.2,5255.77,5248.63,5253.44,218891760,0
^SPX,60,20240328,170000,5253.83,5255.8,5250.46,5255.07,168785802,0
^SPX,60,20240328,180000,5254.97,5254.97,5250.16,5252.03,147253859,0
^SPX,60,20240328,190000,5252.17,5253.56,5248.41,5252.53,135953955,0
^SPX,60,20240328,200000,5252.17,5261.21,5249.37,5260.21,148141768,0
^SPX,60,20240328,210000,5260.51,5264.8,5254.29,5254.35,701102709,0
^SPX,60,20240401,160000,5256.2,5263.85,5254.63,5261.13,192878622,0
^SPX,60,20240401,170000,5261.16,5261.16,5240.71,5242.61,224398009,0
^SPX,60,20240401,180000,5242.67,5243.73,5230.07,5230.07,165273169,0
^SPX,60,20240401,190000,5230.44,5241.35,5229.31,5239.17,133381619,0
^SPX,60,20240401,200000,5238.01,5238.01,5230.06,5236.36,122679203,0
^SPX,60,20240401,210000,5236.35,5240.51,5233.97,5237.6,131018697,0
^SPX,60,20240401,220000,5236.42,5246.81,5235.76,5243.77,493285387,0
^SPX,60,20240402,160000,5201.8,5201.87,5188.95,5193.75,167228150,0
^SPX,60,20240402,170000,5193.26,5198.27,5184.05,5188.43,235051292,0
^SPX,60,20240402,180000,5188.46,5197.83,5187.89,5189.71,185245212,0
^SPX,60,20240402,190000,5189.85,5198.36,5187.99,5198.19,131255295,0
^SPX,60,20240402,200000,5198.48,5199.83,5192.55,5195.85,131205801,0
^SPX,60,20240402,210000,5196.01,5199.77,5195.31,5196.56,143936918,0
^SPX,60,20240402,220000,5196.47,5208.02,5196.39,5205.81,652366548,0
^SPX,60,20240403,160000,5194.9,5205.95,5194.9,5203.22,179184750,0
^SPX,60,20240403,170000,5205.44,5226.87,5205.44,5225.93,242651293,0
^SPX,60,20240403,180000,5226.56,5228.7,5220.13,5220.59,176491053,0
^SPX,60,20240403,190000,5218.3,5226.92,5214,5223.84,144764527,0
^SPX,60,20240403,200000,5223.86,5226.51,5222.04,5223.39,130437264,0
^SPX,60,20240403,210000,5223.97,5226.45,5217.44,5218.04,158262377,0
^SPX,60,20240403,220000,5218.06,5218.62,5198.06,5211.49,646349948,0
^SPX,60,20240404,160000,5252.39,5254.95,5244.71,5247.05,198950369,0
