<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<DATETIME>
9411.11,9449.64,9355.15,9356.69,0,0,2024-02-26 09:00:00
9355.27,9369.35,9337.76,9368.19,0,0,2024-02-26 10:00:00
9368.94,9372.51,9320.22,9344.59,0,0,2024-02-26 11:00:00
9342.01,9362.46,9322.83,9349.17,0,0,2024-02-26 12:00:00
9349.65,9392.25,9349.65,9364.3,0,0,2024-02-26 13:00:00
9364.57,9384.94,9353.55,9383.74,0,0,2024-02-26 14:00:00
9384.24,9409.34,9375.01,9402.98,0,0,2024-02-26 15:00:00
9405.28,9405.67,9334.13,9334.13,0,0,2024-02-26 16:00:00
9351.44,9351.44,9237.37,9237.37,0,0,2024-02-27 09:00:00
9232.66,9259.49,9187.53,9243.62,0,0,2024-02-27 10:00:00
9243.5,9249.52,9224.11,9244.42,0,0,2024-02-27 11:00:00
9244.55,9259.75,9234.5,9249.57,0,0,2024-02-27 12:00:00
9248.82,9285.4,9246.17,9275.56,0,0,2024-02-27 13:00:00
9271.27,9286.04,9259.79,9279.91,0,0,2024-02-27 14:00:00
9281.07,9299.74,9246.77,9246.77,0,0,2024-02-27 15:00:00
9248.1,9248.1,9179.48,9179.48,0,0,2024-02-27 16:00:00
9184.63,9200.04,9112.04,9189.53,0,0,2024-02-28 09:00:00
9190.73,9202.39,9163.83,9190.97,0,0,2024-02-28 10:00:00
9192.66,9217.73,9187.24,9210.46,0,0,2024-02-28 11:00:00
9210.53,9232.35,9202.3,9218.52,0,0,2024-02-28 12:00:00
9219.15,9235.97,9188.92,9189.25,0,0,2024-02-28 13:00:00
9190.1,9191.92,9136.62,9136.62,0,0,2024-02-28 14:00:00
9133.89,9171.26,9133.35,9157.02,0,0,2024-02-28 15:00:00
9158.04,9165.83,9062.36,9062.36,0,0,2024-02-28 16:00:00
9100.27,9165.7,9100.27,9140.83,0,0,2024-02-29 09:00:00
9138.42,9148.28,9090.37,9143.89,0,0,2024-02-29 10:00:00
9145.82,9153.79,9138.84,9139.3,0,0,2024-02-29 11:00:00
9141.74,9142.68,9106.4,9116.25,0,0,2024-02-29 12:00:00
9118.29,9194.06,9115.64,9193.45,0,0,2024-02-29 13:00:00
9194.12,9196.04,9162.44,9166.87,0,0,2024-02-29 14:00:00
9166.55,9193.31,9155.94,9159.41,0,0,2024-02-29 15:00:00
9160.55,9213.29,9126.31,9193.69,0,0,2024-02-29 16:00:00
9218.3,9225.83,9180.33,9219.71,0,0,2024-03-01 09:00:00
9219.24,9224.56,9176.1,9179.27,0,0,2024-03-01 10:00:00
9179.74,9190.27,9165.31,9165.31,0,0,2024-03-01 11:00:00
9166.21,9176.76,9145.94,9148.91,0,0,2024-03-01 12:00:00
9149.12,9163.07,9121.47,9155.64,0,0,2024-03-01 13:00:00
9152.87,9169.92,9113.97,9165.43,0,0,2024-03-01 14:00:00
9168.85,9173.11,9110.82,9117.49,0,0,2024-03-01 15:00:00
9116.82,9142.21,9091.88,9097.15,0,0,2024-03-01 16:00:00
9139.11,9148.89,9071.23,9106.86,0,0,2024-03-04 09:00:00
9107.92,9107.92,9037.69,9062.16,0,0,2024-03-04 10:00:00
9062.11,9073.46,9056.08,9058.52,0,0,2024-03-04 11:00:00
9058.89,9080.86,9048.7,9076.93,0,0,2024-03-04 12:00:00
9076.46,9088.68,9040.74,9048.43,0,0,2024-03-04 13:00:00
9043.68,9060.48,9000.1,9013.49,0,0,2024-03-04 14:00:00
9011.1,9011.56,8939.51,8941.35,0,0,2024-03-04 15:00:00
8941.94,8983.25,8907.65,8907.65,0,0,2024-03-04 16:00:00
8913.41,8957.87,8886.6,8935.37,0,0,2024-03-05 09:00:00
8926.22,8958.02,8923.46,8952.88,0,0,2024-03-05 10:00:00
8953.57,8958.53,8936.05,8943.52,0,0,2024-03-05 11:00:00
8944.68,8970.1,8935.94,8952.57,0,0,2024-03-05 12:00:00
8954.88,8957.36,8898.05,8914.59,0,0,2024-03-05 13:00:00
8913.49,8953.12,8895.89,8941.2,0,0,2024-03-05 14:00:00
8940.17,8942.73,8815.38,8852.22,0,0,2024-03-05 15:00:00
8868.7,8945.01,8854.74,8860.52,0,0,2024-03-05 16:00:00
8856.29,8908.45,8810.06,8883.24,0,0,2024-03-06 09:00:00
8883.67,8884.72,8810.65,8852.91,0,0,2024-03-06 10:00:00
8852.85,8868.84,8818.55,8846.53,0,0,2024-03-06 11:00:00
8847.12,8874.48,8845.98,8869.5,0,0,2024-03-06 12:00:00
8870.84,8883.66,8842.95,8850.09,0,0,2024-03-06 13:00:00
8852.86,8852.86,8814.51,8830.44,0,0,2024-03-06 14:00:00
8826.36,8857.79,8772.79,8784.01,0,0,2024-03-06 15:00:00
8777.36,8792.32,8736.68,8744.58,0,0,2024-03-06 16:00:00
8797.54,8900.51,8797.54,8882.53,0,0,2024-03-07 09:00:00
8886.63,8904.7,8875.9,8901.08,0,0,2024-03-07 10:00:00
8905.26,8931.82,8903.16,8923.56,0,0,2024-03-07 11:00:00
8927.12,8943.89,8921.81,8943.89,0,0,2024-03-07 12:00:00
8946.34,8986.69,8944.98,8986.69,0,0,2024-03-07 13:00:00
8987.01,8996.94,8967.8,8992.23,0,0,2024-03-07 14:00:00
8993.2,8999.95,8970.85,8994.59,0,0,2024-03-07 15:00:00
8991.32,9054.18,8970.92,9054.18,0,0,2024-03-07 16:00:00
9084.18,9132.8,9070.08,9087.92,0,0,2024-03-08 09:00:00
9087.14,9114.41,9064.88,9064.88,0,0,2024-03-08 10:00:00
9061.56,9081.93,9026.36,9080.83,0,0,2024-03-08 11:00:00
9077.24,9107.26,9074.75,9096.47,0,0,2024-03-08 12:00:00
9097.8,9143.92,9097.8,9133.44,0,0,2024-03-08 13:00:00
9125.02,9146.22,9119.13,9120.61,0,0,2024-03-08 14:00:00
9123.1,9169.42,9091.77,9169.42,0,0,2024-03-08 15:00:00
9173.1,9173.1,9146.31,9155.32,0,0,2024-03-08 16:00:00
9363.89,9363.89,9259.39,9259.39,0,0,2024-03-11 09:00:00
9262.29,9269.67,9236.26,9258.87,0,0,2024-03-11 10:00:00
9252.23,9284.02,9240.14,9270.61,0,0,2024-03-11 11:00:00
9271.11,9272.44,9247.47,9253.3,0,0,2024-03-11 12:00:00
9248.61,9248.61,9192.64,9216.37,0,0,2024-03-11 13:00:00
9215.68,9261.42,9215.68,9242.93,0,0,2024-03-11 14:00:00
9248.75,9249.16,9193.8,9198.69,0,0,2024-03-11 15:00:00
9198.38,9210.13,9131.82,9131.82,0,0,2024-03-11 16:00:00
9147.51,9185.3,9090.85,9183.74,0,0,2024-03-12 09:00:00
