<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRP.V,60,20240226,010000,0.544173,0.544373,0.542095,0.5425,4576127.9177367,0
XRP.V,60,20240226,020000,0.5425,0.542835,0.540741,0.541835,11187723.589984,0
XRP.V,60,20240226,030000,0.541735,0.54223,0.54023,0.540935,5838133.9678798,0
XRP.V,60,20240226,040000,0.541035,0.541357,0.538452,0.538851,11092974.793916,0
XRP.V,60,20240226,050000,0.538957,0.540978,0.538484,0.5407,7628915.8933445,0
XRP.V,60,20240226,060000,0.5408,0.5408,0.5387,0.5391,5951130.9318146,0
XRP.V,60,20240226,070000,0.539,0.540038,0.538105,0.540038,5882986.5398383,0
XRP.V,60,20240226,080000,0.539938,0.540238,0.538732,0.539638,10398554.831024,0
XRP.V,60,20240226,090000,0.539632,0.540332,0.536632,0.537111,12539719.893952,0
XRP.V,60,20240226,100000,0.537011,0.539349,0.536259,0.538532,12423176.068048,0
XRP.V,60,20240226,110000,0.538532,0.539022,0.532453,0.533237,7948040.5071651,0
XRP.V,60,20240226,120000,0.533337,0.536589,0.533337,0.533636,7435599.039933,0
XRP.V,60,20240226,130000,0.533636,0.534425,0.530205,0.530205,20763812.039776,0
XRP.V,60,20240226,140000,0.530205,0.532279,0.5287,0.532179,22460011.744153,0
XRP.V,60,20240226,150000,0.532173,0.534179,0.531668,0.532705,12701125.19962,0
XRP.V,60,20240226,160000,0.532505,0.537805,0.532411,0.536627,13301306.058752,0
XRP.V,60,20240226,170000,0.536727,0.542433,0.536027,0.541533,11128165.314916,0
XRP.V,60,20240226,180000,0.541633,0.545738,0.541138,0.545738,19264091.425791,0
XRP.V,60,20240226,190000,0.545738,0.552744,0.544938,0.549181,41109100.443081,0
XRP.V,60,20240226,200000,0.549176,0.549331,0.544421,0.545871,12933547.825397,0
XRP.V,60,20240226,210000,0.545971,0.550824,0.544348,0.550657,21332583.241623,0
XRP.V,60,20240226,220000,0.550557,0.552346,0.548799,0.55173,17491992.541214,0
XRP.V,60,20240226,230000,0.55173,0.55197,0.549397,0.55122,8326710.3319103,0
XRP.V,60,20240226,235900,0.55132,0.553076,0.548323,0.550358,10538486.300814,0
XRP.V,60,20240227,010000,0.550157,0.552687,0.549384,0.551097,10235414.355826,0
XRP.V,60,20240227,020000,0.550796,0.551613,0.547978,0.548935,9841803.567183,0
XRP.V,60,20240227,030000,0.549035,0.555027,0.548534,0.552887,12407496.650837,0
XRP.V,60,20240227,040000,0.552781,0.560763,0.552031,0.557673,27168999.239677,0
XRP.V,60,20240227,050000,0.557673,0.560632,0.552602,0.552729,28888467.916689,0
XRP.V,60,20240227,060000,0.552529,0.557145,0.552529,0.554172,17251534.386692,0
XRP.V,60,20240227,070000,0.554272,0.556422,0.553205,0.554889,16141896.771216,0
XRP.V,60,20240227,080000,0.554994,0.555894,0.55346,0.554166,21036635.615031,0
XRP.V,60,20240227,090000,0.554266,0.554466,0.550092,0.552315,36997927.897374,0
XRP.V,60,20240227,100000,0.552415,0.555844,0.552026,0.554194,22532699.109553,0
XRP.V,60,20240227,110000,0.554294,0.565044,0.554221,0.562604,42278459.914359,0
XRP.V,60,20240227,120000,0.562604,0.562604,0.559196,0.559885,33761433.700358,0
XRP.V,60,20240227,130000,0.559885,0.560141,0.556434,0.55993,20837821.639425,0
XRP.V,60,20240227,140000,0.559724,0.561693,0.556689,0.557195,14038981.542543,0
XRP.V,60,20240227,150000,0.557295,0.565245,0.554688,0.562326,37789662.451563,0
XRP.V,60,20240227,160000,0.562326,0.563909,0.558034,0.561713,21791570.806834,0
XRP.V,60,20240227,170000,0.561719,0.570062,0.55948,0.561347,50979298.476223,0
XRP.V,60,20240227,180000,0.561247,0.567821,0.559202,0.564843,21022919.109571,0
XRP.V,60,20240227,190000,0.564948,0.574681,0.564948,0.574281,38116313.290055,0
XRP.V,60,20240227,200000,0.574075,0.579738,0.571811,0.579232,29226553.437553,0
XRP.V,60,20240227,210000,0.579232,0.597239,0.579232,0.593349,151246429.47559,0
XRP.V,60,20240227,220000,0.593249,0.593249,0.580505,0.581382,32675798.72751,0
XRP.V,60,20240227,230000,0.581376,0.583933,0.578191,0.583792,15008789.929145,0
XRP.V,60,20240227,235900,0.583892,0.59026,0.583492,0.586935,32573685.482333,0
XRP.V,60,20240228,010000,0.586935,0.59046,0.585887,0.58637,21341550.009888,0
XRP.V,60,20240228,020000,0.58647,0.59066,0.58099,0.582739,40252333.812702,0
